Index,X,Y,Filename
1,0,0,patch_0001_x0_y0.png
2,224,0,patch_0002_x224_y0.png
3,448,0,patch_0003_x448_y0.png
4,672,0,patch_0004_x672_y0.png
5,896,0,patch_0005_x896_y0.png
6,1120,0,patch_0006_x1120_y0.png
7,1344,0,patch_0007_x1344_y0.png
8,1568,0,patch_0008_x1568_y0.png
9,1792,0,patch_0009_x1792_y0.png
10,2016,0,patch_0010_x2016_y0.png
11,2240,0,patch_0011_x2240_y0.png
12,2464,0,patch_0012_x2464_y0.png
13,2688,0,patch_0013_x2688_y0.png
14,2912,0,patch_0014_x2912_y0.png
15,3136,0,patch_0015_x3136_y0.png
16,3360,0,patch_0016_x3360_y0.png
17,3584,0,patch_0017_x3584_y0.png
18,3808,0,patch_0018_x3808_y0.png
19,4032,0,patch_0019_x4032_y0.png
20,4256,0,patch_0020_x4256_y0.png
21,4480,0,patch_0021_x4480_y0.png
22,4704,0,patch_0022_x4704_y0.png
23,4928,0,patch_0023_x4928_y0.png
24,5152,0,patch_0024_x5152_y0.png
25,5376,0,patch_0025_x5376_y0.png
26,5600,0,patch_0026_x5600_y0.png
27,0,224,patch_0027_x0_y224.png
28,224,224,patch_0028_x224_y224.png
29,448,224,patch_0029_x448_y224.png
30,672,224,patch_0030_x672_y224.png
31,896,224,patch_0031_x896_y224.png
32,1120,224,patch_0032_x1120_y224.png
33,1344,224,patch_0033_x1344_y224.png
34,1568,224,patch_0034_x1568_y224.png
35,1792,224,patch_0035_x1792_y224.png
36,2016,224,patch_0036_x2016_y224.png
37,2240,224,patch_0037_x2240_y224.png
38,2464,224,patch_0038_x2464_y224.png
39,2688,224,patch_0039_x2688_y224.png
40,2912,224,patch_0040_x2912_y224.png
41,3136,224,patch_0041_x3136_y224.png
42,3360,224,patch_0042_x3360_y224.png
43,3584,224,patch_0043_x3584_y224.png
44,3808,224,patch_0044_x3808_y224.png
45,4032,224,patch_0045_x4032_y224.png
46,4256,224,patch_0046_x4256_y224.png
47,4480,224,patch_0047_x4480_y224.png
48,4704,224,patch_0048_x4704_y224.png
49,4928,224,patch_0049_x4928_y224.png
50,5152,224,patch_0050_x5152_y224.png
51,5376,224,patch_0051_x5376_y224.png
52,5600,224,patch_0052_x5600_y224.png
53,0,448,patch_0053_x0_y448.png
54,224,448,patch_0054_x224_y448.png
55,448,448,patch_0055_x448_y448.png
56,672,448,patch_0056_x672_y448.png
57,896,448,patch_0057_x896_y448.png
58,1120,448,patch_0058_x1120_y448.png
59,1344,448,patch_0059_x1344_y448.png
60,1568,448,patch_0060_x1568_y448.png
61,1792,448,patch_0061_x1792_y448.png
62,2016,448,patch_0062_x2016_y448.png
63,2240,448,patch_0063_x2240_y448.png
64,2464,448,patch_0064_x2464_y448.png
65,2688,448,patch_0065_x2688_y448.png
66,2912,448,patch_0066_x2912_y448.png
67,3136,448,patch_0067_x3136_y448.png
68,3360,448,patch_0068_x3360_y448.png
69,3584,448,patch_0069_x3584_y448.png
70,3808,448,patch_0070_x3808_y448.png
71,4032,448,patch_0071_x4032_y448.png
72,4256,448,patch_0072_x4256_y448.png
73,4480,448,patch_0073_x4480_y448.png
74,4704,448,patch_0074_x4704_y448.png
75,4928,448,patch_0075_x4928_y448.png
76,5152,448,patch_0076_x5152_y448.png
77,5376,448,patch_0077_x5376_y448.png
78,5600,448,patch_0078_x5600_y448.png
79,0,672,patch_0079_x0_y672.png
80,224,672,patch_0080_x224_y672.png
81,448,672,patch_0081_x448_y672.png
82,672,672,patch_0082_x672_y672.png
83,896,672,patch_0083_x896_y672.png
84,1120,672,patch_0084_x1120_y672.png
85,1344,672,patch_0085_x1344_y672.png
86,1568,672,patch_0086_x1568_y672.png
87,1792,672,patch_0087_x1792_y672.png
88,2016,672,patch_0088_x2016_y672.png
89,2240,672,patch_0089_x2240_y672.png
90,2464,672,patch_0090_x2464_y672.png
91,2688,672,patch_0091_x2688_y672.png
92,2912,672,patch_0092_x2912_y672.png
93,3136,672,patch_0093_x3136_y672.png
94,3360,672,patch_0094_x3360_y672.png
95,3584,672,patch_0095_x3584_y672.png
96,3808,672,patch_0096_x3808_y672.png
97,4032,672,patch_0097_x4032_y672.png
98,4256,672,patch_0098_x4256_y672.png
99,4480,672,patch_0099_x4480_y672.png
100,4704,672,patch_0100_x4704_y672.png
101,4928,672,patch_0101_x4928_y672.png
102,5152,672,patch_0102_x5152_y672.png
103,5376,672,patch_0103_x5376_y672.png
104,5600,672,patch_0104_x5600_y672.png
105,0,896,patch_0105_x0_y896.png
106,224,896,patch_0106_x224_y896.png
107,448,896,patch_0107_x448_y896.png
108,672,896,patch_0108_x672_y896.png
109,896,896,patch_0109_x896_y896.png
110,1120,896,patch_0110_x1120_y896.png
111,1344,896,patch_0111_x1344_y896.png
112,1568,896,patch_0112_x1568_y896.png
113,1792,896,patch_0113_x1792_y896.png
114,2016,896,patch_0114_x2016_y896.png
115,2240,896,patch_0115_x2240_y896.png
116,2464,896,patch_0116_x2464_y896.png
117,2688,896,patch_0117_x2688_y896.png
118,2912,896,patch_0118_x2912_y896.png
119,3136,896,patch_0119_x3136_y896.png
120,3360,896,patch_0120_x3360_y896.png
121,3584,896,patch_0121_x3584_y896.png
122,3808,896,patch_0122_x3808_y896.png
123,4032,896,patch_0123_x4032_y896.png
124,4256,896,patch_0124_x4256_y896.png
125,4480,896,patch_0125_x4480_y896.png
126,4704,896,patch_0126_x4704_y896.png
127,4928,896,patch_0127_x4928_y896.png
128,5152,896,patch_0128_x5152_y896.png
129,5376,896,patch_0129_x5376_y896.png
130,5600,896,patch_0130_x5600_y896.png
131,0,1120,patch_0131_x0_y1120.png
132,224,1120,patch_0132_x224_y1120.png
133,448,1120,patch_0133_x448_y1120.png
134,672,1120,patch_0134_x672_y1120.png
135,896,1120,patch_0135_x896_y1120.png
136,1120,1120,patch_0136_x1120_y1120.png
137,1344,1120,patch_0137_x1344_y1120.png
138,1568,1120,patch_0138_x1568_y1120.png
139,1792,1120,patch_0139_x1792_y1120.png
140,2016,1120,patch_0140_x2016_y1120.png
141,2240,1120,patch_0141_x2240_y1120.png
142,2464,1120,patch_0142_x2464_y1120.png
143,2688,1120,patch_0143_x2688_y1120.png
144,2912,1120,patch_0144_x2912_y1120.png
145,3136,1120,patch_0145_x3136_y1120.png
146,3360,1120,patch_0146_x3360_y1120.png
147,3584,1120,patch_0147_x3584_y1120.png
148,3808,1120,patch_0148_x3808_y1120.png
149,4032,1120,patch_0149_x4032_y1120.png
150,4256,1120,patch_0150_x4256_y1120.png
151,4480,1120,patch_0151_x4480_y1120.png
152,4704,1120,patch_0152_x4704_y1120.png
153,4928,1120,patch_0153_x4928_y1120.png
154,5152,1120,patch_0154_x5152_y1120.png
155,5376,1120,patch_0155_x5376_y1120.png
156,5600,1120,patch_0156_x5600_y1120.png
157,0,1344,patch_0157_x0_y1344.png
158,224,1344,patch_0158_x224_y1344.png
159,448,1344,patch_0159_x448_y1344.png
160,672,1344,patch_0160_x672_y1344.png
161,896,1344,patch_0161_x896_y1344.png
162,1120,1344,patch_0162_x1120_y1344.png
163,1344,1344,patch_0163_x1344_y1344.png
164,1568,1344,patch_0164_x1568_y1344.png
165,1792,1344,patch_0165_x1792_y1344.png
166,2016,1344,patch_0166_x2016_y1344.png
167,2240,1344,patch_0167_x2240_y1344.png
168,2464,1344,patch_0168_x2464_y1344.png
169,2688,1344,patch_0169_x2688_y1344.png
170,2912,1344,patch_0170_x2912_y1344.png
171,3136,1344,patch_0171_x3136_y1344.png
172,3360,1344,patch_0172_x3360_y1344.png
173,3584,1344,patch_0173_x3584_y1344.png
174,3808,1344,patch_0174_x3808_y1344.png
175,4032,1344,patch_0175_x4032_y1344.png
176,4256,1344,patch_0176_x4256_y1344.png
177,4480,1344,patch_0177_x4480_y1344.png
178,4704,1344,patch_0178_x4704_y1344.png
179,4928,1344,patch_0179_x4928_y1344.png
180,5152,1344,patch_0180_x5152_y1344.png
181,5376,1344,patch_0181_x5376_y1344.png
182,5600,1344,patch_0182_x5600_y1344.png
183,0,1568,patch_0183_x0_y1568.png
184,224,1568,patch_0184_x224_y1568.png
185,448,1568,patch_0185_x448_y1568.png
186,672,1568,patch_0186_x672_y1568.png
187,896,1568,patch_0187_x896_y1568.png
188,1120,1568,patch_0188_x1120_y1568.png
189,1344,1568,patch_0189_x1344_y1568.png
190,1568,1568,patch_0190_x1568_y1568.png
191,1792,1568,patch_0191_x1792_y1568.png
192,2016,1568,patch_0192_x2016_y1568.png
193,2240,1568,patch_0193_x2240_y1568.png
194,2464,1568,patch_0194_x2464_y1568.png
195,2688,1568,patch_0195_x2688_y1568.png
196,2912,1568,patch_0196_x2912_y1568.png
197,3136,1568,patch_0197_x3136_y1568.png
198,3360,1568,patch_0198_x3360_y1568.png
199,3584,1568,patch_0199_x3584_y1568.png
200,3808,1568,patch_0200_x3808_y1568.png
201,4032,1568,patch_0201_x4032_y1568.png
202,4256,1568,patch_0202_x4256_y1568.png
203,4480,1568,patch_0203_x4480_y1568.png
204,4704,1568,patch_0204_x4704_y1568.png
205,4928,1568,patch_0205_x4928_y1568.png
206,5152,1568,patch_0206_x5152_y1568.png
207,5376,1568,patch_0207_x5376_y1568.png
208,5600,1568,patch_0208_x5600_y1568.png
209,0,1792,patch_0209_x0_y1792.png
210,224,1792,patch_0210_x224_y1792.png
211,448,1792,patch_0211_x448_y1792.png
212,672,1792,patch_0212_x672_y1792.png
213,896,1792,patch_0213_x896_y1792.png
214,1120,1792,patch_0214_x1120_y1792.png
215,1344,1792,patch_0215_x1344_y1792.png
216,1568,1792,patch_0216_x1568_y1792.png
